submitted_name,normalized_name,proposed_formula,matched_existing_object,match_type,ev_state,hold_kind,failure_class,final_disposition,blocker_subtype,residual_home,confidence,source,note,object_type,evidence_state,blocker_id,owner
Illusioning Symp. Eggbeater,illusioningsympeggbeater,,same-formula-row,formula-identity,alias,alias,unknown-modifier-token,A,,,high,PB,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Inward Gyro Torque (Inward Mobius),inwardgyrotorqueinwardmobius,,same-formula-row,formula-identity,alias,alias,unknown-modifier-token,A,,,high,SG,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Jacknife,jacknife,,same-formula-row,formula-identity,alias,alias,folk-name-opacity,A,,,high,FM,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Johny Quest / Neutron Smasher,johnyquestneutronsmasher,,same-formula-row,formula-identity,alias,alias,folk-name-opacity,A,,,high,FM,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Kilo,kilo,,same-formula-row,formula-identity,alias,alias,folk-name-opacity,A,,,high,PB,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
L(wrap),lwrap,,same-formula-row,formula-identity,alias,alias,folk-name-opacity,A,,,high,SG,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
L_(walk),lwalk,,same-formula-row,formula-identity,alias,alias,folk-name-opacity,A,,,high,SG,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Leaning (stepping inspinning),leaningsteppinginspinning,,same-formula-row,formula-identity,alias,alias,folk-name-opacity,A,,,high,FB,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Leaning Mirage (Leaning Jowler),leaningmirageleaningjowler,,same-formula-row,formula-identity,alias,alias,unknown-modifier-token,A,,,high,SG,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Leaning Osis (Macon Bacon),leaningosismaconbacon,,same-formula-row,formula-identity,alias,alias,unknown-modifier-token,A,,,high,SG,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Leaning Torque (Timberwulff),leaningtorquetimberwulff,,same-formula-row,formula-identity,alias,alias,unknown-modifier-token,A,,,high,SG,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Leviathan,leviathan,,same-formula-row,formula-identity,alias,alias,folk-name-opacity,A,,,high,FM,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Leviathan / Christina Aguilera,leviathanchristinaaguilera,,same-formula-row,formula-identity,alias,alias,folk-name-opacity,A,,,high,FM,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Lotus / Void,lotusvoid,,same-formula-row,formula-identity,alias,alias,unknown-modifier-token,A,,,high,FM,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Miraging Double Switchover (Kilo),miragingdoubleswitchoverkilo,,same-formula-row,formula-identity,alias,alias,ambiguous-terminal-mechanic,A,,,high,SG,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Miraging Dragon (Dragster),miragingdragondragster,,same-formula-row,formula-identity,alias,alias,ambiguous-terminal-mechanic,A,,,high,SG,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
