"name","slug","governance_state","category","source_corpus","ecosystems","parent_family","completeness","publication_status","parse_confidence","add_confidence"
"Barraging far Mirage","barraging-far-mirage","3 Observationally represented","A","passback","","","name-only","","",""
"Barraging far Motion","barraging-far-motion","3 Observationally represented","A","passback","","","name-only","","",""
"Barraging far Osis","barraging-far-osis","3 Observationally represented","A","passback","","","name-only","","",""
"Barraging near Butterfly","barraging-near-butterfly","3 Observationally represented","A","passback","","","name-only","","",""
"Big Applesauce","big-applesauce","3 Observationally represented","A","passback","","","name-only","","",""
"Big Orange","big-orange","3 Observationally represented","A","passback","","","name-only","","",""
"Blackula","blackula","3 Observationally represented","A","passback","","","name-only","","",""
"Blurtigo","blurtigo","3 Observationally represented","A","passback","","","name-only","","",""
"BS Fury","bs-fury","3 Observationally represented","A","passback","","","name-only","","",""
"BS Fusion","bs-fusion","3 Observationally represented","A","passback","","","name-only","","",""
"BS Pigbeater","bs-pigbeater","3 Observationally represented","A","passback","","","name-only","","",""
"BS Reactor","bs-reactor","3 Observationally represented","A","passback","","","name-only","","",""
"Butterfly, Down","butterfly-down","3 Observationally represented","A","passback","","","name-only","","",""
"Butterfy near Osis","butterfy-near-osis","3 Observationally represented","A","passback","","","name-only","","",""
"Cheese Processor","cheese-processor","3 Observationally represented","A","passback","","","name-only","","",""
"Clipper far Grifter","clipper-far-grifter","3 Observationally represented","A","passback","","","name-only","","",""
"Clipper far triple-dex Butterfly","clipper-far-triple-dex-butterfly","3 Observationally represented","A","passback","","","name-only","","",""
"Cloud","cloud","3 Observationally represented","A","passback","","","name-only","","",""
"Clownface","clownface","3 Observationally represented","A","passback","","","name-only","","",""
