"source","source_file","move_name","alternate_names","technical_name","source_adds","symbolic_notation_raw","start_contact","uptime_dex_1","uptime_dex_2","uptime_state_flags","midtime_body_actions","downtime_dexes","final_contact","surface_flags","positional_flags","component_flags","parsed_symbol_sequence","derived_adds","source_vs_derived_delta","derived_symbolic_family","derived_topology_family","unresolved_tokens","parse_confidence","review_status","notes"
"footbagmoves","footbagmoves-3-4adds.txt","Furnace","","Hopover Swirl Dragon","4","Inside > Jump (BOD >> Same Back Swirl (DEX) > Same Dragon (XBD)(DEL)","inside","same back swirl","","","","","Same Dragon (XBD)(DEL)","","XBD","DEX|XBD|DEL","inside › Jump (BOD ⟫ same back swirl(DEX) › same(XBD,DEL)","3","1","inside-back-swirl-?","swirl-family","jump (bod|dragon","low","needs_review","add-delta:+1"
"footbagmoves","footbagmoves-3-4adds.txt","Glaucoma","","Fairy ss Double Legover","4","Toe > Same Out (DEX) >> Same In (DEX) > Op Out (DEX) > Same Toe (DEL)","toe","same out","same in","","","op out","toe","","","DEX|DEX|DEX|DEL","toe › same out(DEX) ⟫ same in(DEX) › op out(DEX) › same toe(DEL)","4","0","toe-multi-dex-toe","multi-dex-family","","high","ok",""
"footbagmoves","footbagmoves-3-4adds.txt","Guillotine","Cower","Fairy Ducking Mirage","4","Toe > Same Out (DEX) >> Duck (BOD) >> Op In (DEX) > Op Toe (DEL)","toe","same out","","","duck","op in","toe","","","DEX|BOD|DEX|DEL","toe › same out(DEX) ⟫ duck(BOD) ⟫ op in(DEX) › op toe(DEL)","4","0","toe-duck-toe","duck-family","","high","ok",""
"footbagmoves","footbagmoves-3-4adds.txt","Gyro Butterfly","","","4","","","","","","","","","","","","","","","no-notation","no-notation","","none","source_has_no_notation",""
"footbagmoves","footbagmoves-3-4adds.txt","Gyro DLO","","","4","","","","","","","","","","","","","","","no-notation","no-notation","","none","source_has_no_notation",""
"footbagmoves","footbagmoves-3-4adds.txt","Gyro Osis","","","4","","","","","","","","","","","","","","","no-notation","no-notation","","none","source_has_no_notation",""
"footbagmoves","footbagmoves-3-4adds.txt","Gyro Whirl","","","4","","","","","","","","","","","","","","","no-notation","no-notation","","none","source_has_no_notation",""
"footbagmoves","footbagmoves-3-4adds.txt","Hatchet","","Diving Whirl","4","Clip >> Dive (BOD) > Same Front Whirl (DEX) > Op Clip (XBD)(DEL)","clip","","","","dive","same front whirl","clip","","XBD","BOD|DEX|XBD|DEL","clip ⟫ dive(BOD) › same front whirl(DEX) › op clip(XBD,DEL)","4","0","clip-dive-whirl","dive-family","","high","ok",""
"footbagmoves","footbagmoves-3-4adds.txt","Haze","","Stepping Double Legover","4","Clip > Op In (DEX) >> Same In (DEX) > Op Out (DEX) > Same Toe (DEL)","clip","op in","same in","","","op out","toe","","","DEX|DEX|DEX|DEL","clip › op in(DEX) ⟫ same in(DEX) › op out(DEX) › same toe(DEL)","4","0","clip-multi-dex-toe","multi-dex-family","","high","ok",""
"footbagmoves","footbagmoves-3-4adds.txt","High Plains Drifter","Barrifter","Double Drifter","4","Clip >> Op In (DEX) > Same In (DEX) > Same Clip (XBD)(DEL)","clip","op in","","","","same in","clip","","XBD","DEX|DEX|XBD|DEL","clip ⟫ op in(DEX) › same in(DEX) › same clip(XBD,DEL)","4","0","clip-double-dex-clip","double-dex-family","","high","ok",""
