"canonical_slug","display_name","source","source_file","source_adds","derived_adds","add_formula","symbolic_notation_raw","parsed_symbol_sequence","derived_symbolic_family","derived_topology_family","doctrine_status","first_class","curator_review_needed","publication_status","unresolved_questions","provenance_notes","parser_notes","review_status"
"","","footbagmoves","footbagmoves-3-4adds.txt","4","","","","","no-notation","no-notation","","","","","","","","source_has_no_notation"
"","","footbagmoves","footbagmoves-3-4adds.txt","4","4","","Toe > Op Out (DEX) >> (back) Spin (BOD) >> Op In (DEX) > Op Toe (DEL)","toe › op out(DEX) ⟫ [back] spin(BOD) ⟫ op in(DEX) › op toe(DEL)","toe-spin-toe","spin-family","","","","","","","","ok"
"","","footbagmoves","footbagmoves-3-4adds.txt","4","4","","Toe >> (no plant while) Op In (DEX)(BOD) > Op Out (DEX) > Same Toe (DEL)","toe ⟫ [no plant while] op in(DEX,BOD) › op out(DEX) › same toe(DEL)","toe-to-toe","uncategorized","","","","","","","","ok"
"","","footbagmoves","footbagmoves-3-4adds.txt","4","","","","","no-notation","no-notation","","","","","","","","source_has_no_notation"
"","","footbagmoves","footbagmoves-3-4adds.txt","4","","","","","no-notation","no-notation","","","","","","","","source_has_no_notation"
"","","footbagmoves","footbagmoves-3-4adds.txt","4","","","","","no-notation","no-notation","","","","","","","","source_has_no_notation"
"","","footbagmoves","footbagmoves-3-4adds.txt","4","","","","","no-notation","no-notation","","","","","","","","source_has_no_notation"
"","","footbagmoves","footbagmoves-3-4adds.txt","4","","","","","no-notation","no-notation","","","","","","","","source_has_no_notation"
"","","footbagmoves","footbagmoves-3-4adds.txt","4","","","","","no-notation","no-notation","","","","","","","","source_has_no_notation"
"","","footbagmoves","footbagmoves-3-4adds.txt","4","","","","","no-notation","no-notation","","","","","","","","source_has_no_notation"
"","","footbagmoves","footbagmoves-3-4adds.txt","4","","","","","no-notation","no-notation","","","","","","","","source_has_no_notation"
"","","footbagmoves","footbagmoves-3-4adds.txt","4","4","","Toe > Op In (DEX) >> (back) Spin (BOD) > Same Clip (XBD)(DEL)","toe › op in(DEX) ⟫ [back] spin(BOD) › same clip(XBD,DEL)","toe-spin-clip","spin-family","","","","","","","","ok"
"","","footbagmoves","footbagmoves-3-4adds.txt","4","4","","Toe > Same Out (DEX) >> Same Out (DEX) > Op Clip (XBD)(DEL)","toe › same out(DEX) ⟫ same out(DEX) › op clip(XBD,DEL)","toe-double-dex-clip","double-dex-family","","","","","","","","ok"
"","","footbagmoves","footbagmoves-3-4adds.txt","4","","","","","no-notation","no-notation","","","","","","","","source_has_no_notation"
"","","footbagmoves","footbagmoves-3-4adds.txt","4","","","","","no-notation","no-notation","","","","","","","","source_has_no_notation"
"","","footbagmoves","footbagmoves-3-4adds.txt","4","","","","","no-notation","no-notation","","","","","","","","source_has_no_notation"
"","","footbagmoves","footbagmoves-3-4adds.txt","4","4","","Toe > Same Out (DEX) > Op Back Swirl (DEX) >> Op In (DEX) > Op Toe (DEL)","toe › same out(DEX) › op back swirl(DEX) ⟫ op in(DEX) › op toe(DEL)","toe-back-swirl-toe","swirl-family","","","","","","","","ok"
"","","footbagmoves","footbagmoves-3-4adds.txt","4","4","","Toe > Same In (DEX) >> Op Out (DEX) > Op Out (DEX) > Same Toe (DEL)","toe › same in(DEX) ⟫ op out(DEX) › op out(DEX) › same toe(DEL)","toe-multi-dex-toe","multi-dex-family","","","","","","","","ok"
"","","footbagmoves","footbagmoves-3-4adds.txt","4","","","","","no-notation","no-notation","","","","","","","","source_has_no_notation"
"","","footbagmoves","footbagmoves-3-4adds.txt","4","","","","","no-notation","no-notation","","","","","","","","source_has_no_notation"
"","","footbagmoves","footbagmoves-3-4adds.txt","4","","","","","no-notation","no-notation","","","","","","","","source_has_no_notation"
"","","footbagmoves","footbagmoves-3-4adds.txt","4","","","","","no-notation","no-notation","","","","","","","","source_has_no_notation"
"","","footbagmoves","footbagmoves-3-4adds.txt","4","","","","","no-notation","no-notation","","","","","","","","source_has_no_notation"
"","","footbagmoves","footbagmoves-3-4adds.txt","4","4","","Toe > Same In (DEX) >> (front) Spin (BOD) > Op Clip (XBD)(DEL)","toe › same in(DEX) ⟫ [front] spin(BOD) › op clip(XBD,DEL)","toe-spin-clip","spin-family","","","","","","","","ok"
"","","footbagmoves","footbagmoves-3-4adds.txt","4","","","","","no-notation","no-notation","","","","","","","","source_has_no_notation"
"","","footbagmoves","footbagmoves-3-4adds.txt","4","","","","","no-notation","no-notation","","","","","","","","source_has_no_notation"
"","","footbagmoves","footbagmoves-3-4adds.txt","4","","","","","no-notation","no-notation","","","","","","","","source_has_no_notation"
"","","footbagmoves","footbagmoves-3-4adds.txt","4","","","","","no-notation","no-notation","","","","","","","","source_has_no_notation"
"","","footbagmoves","footbagmoves-3adds.txt","3","","","","","no-notation","no-notation","","","","","","","","source_has_no_notation"
"","","footbagmoves","footbagmoves-3adds.txt","3","3","","Clip >> Op In (DEX) > Same Dragon (XBD)(DEL)","clip ⟫ op in(DEX) › same(XBD,DEL)","clip-single-dex-?","single-dex-family","","","","","","","","needs_review"
"","","footbagmoves","footbagmoves-3adds.txt","3","3","","Clip >> Op In (DEX) > Same Clip (XBD)(DEL)","clip ⟫ op in(DEX) › same clip(XBD,DEL)","clip-single-dex-clip","single-dex-family","","","","","","","","ok"
"","","footbagmoves","footbagmoves-3adds.txt","3","","","","","no-notation","no-notation","","","","","","","","source_has_no_notation"
"","","footbagmoves","footbagmoves-3adds.txt","3","","","","","no-notation","no-notation","","","","","","","","source_has_no_notation"
"","","footbagmoves","footbagmoves-3adds.txt","3","","","","","no-notation","no-notation","","","","","","","","source_has_no_notation"
"","","footbagmoves","footbagmoves-3adds.txt","3","","","","","no-notation","no-notation","","","","","","","","source_has_no_notation"
"","","footbagmoves","footbagmoves-3adds.txt","3","3","","Toe > Op Out (DEX) >> Op Out (DEX) > Same Toe (DEL)","toe › op out(DEX) ⟫ op out(DEX) › same toe(DEL)","toe-double-dex-toe","double-dex-family","","","","","","","","ok"
"","","footbagmoves","footbagmoves-3adds.txt","3","","","","","no-notation","no-notation","","","","","","","","source_has_no_notation"
"","","footbagmoves","footbagmoves-3adds.txt","3","","","","","no-notation","no-notation","","","","","","","","source_has_no_notation"
"","","footbagmoves","footbagmoves-3adds.txt","3","","","","","no-notation","no-notation","","","","","","","","source_has_no_notation"
"","","footbagmoves","footbagmoves-3adds.txt","3","","","","","no-notation","no-notation","","","","","","","","source_has_no_notation"
"","","footbagmoves","footbagmoves-3adds.txt","3","","","","","no-notation","no-notation","","","","","","","","source_has_no_notation"
"","","footbagmoves","footbagmoves-3adds.txt","3","","","","","no-notation","no-notation","","","","","","","","source_has_no_notation"
"fear","Fear","footbagmoves","footbagmoves-3adds.txt","3","3","fairy(+1?) + mirage(2) --> 3 ADDs","Toe > Same Out (DEX) >> Op In (DEX) > Op Toe (DEL)","toe › same out(DEX) ⟫ op in(DEX) › op toe(DEL)","toe-double-dex-toe","double-dex-family","pending","false","true","observational","Fairy modifier ADD weight pending pt12 Q4 batch.","FB.org 3-ADD confirms 'Fear' (source_adds=3; jobs_notation_raw='TOE > SAME OUT [DEX] > OP IN [DEX] > OP TOE [DEL]'; component_flags='[dex] [dex] [del]'); ingested 2026-05-21.","pt12 Q4 batch open: fairy-as-modifier status unresolved. Alternate name ""Fairy Mirage"" preserved.","ok"
"","","footbagmoves","footbagmoves-3adds.txt","3","3","","Set >> Op Out (DEX) > Op Dragon (XBD)(DEL)","set ⟫ op out(DEX) › op(XBD,DEL)","set-single-dex-?","single-dex-family","","","","","","","","needs_review"
"","","footbagmoves","footbagmoves-3adds.txt","3","","","","","no-notation","no-notation","","","","","","","","source_has_no_notation"
"fudge","Fudge","footbagmoves","footbagmoves-3adds.txt","3","3","fairy(+1?) + illusion(2) --> 3 ADDs","Toe > Same Out (DEX) >> Op Out (DEX) > Op Toe (DEL)","toe › same out(DEX) ⟫ op out(DEX) › op toe(DEL)","toe-double-dex-toe","double-dex-family","pending","false","true","observational","Fairy modifier ADD weight pending pt12 Q4 batch.","FB.org 3-ADD confirms 'Fudge' (source_adds=3; jobs_notation_raw='TOE > SAME OUT [DEX] > OP OUT [DEX] > OP TOE [DEL]'; component_flags='[dex] [dex] [del]'); ingested 2026-05-21.","pt12 Q4 batch open: fairy-as-modifier status unresolved. Alternate name ""Fairy Illusion"" preserved.","ok"
"","","footbagmoves","footbagmoves-3adds.txt","3","3","","Clip >> Op Out (DEX) > Same Clip (XBD)(DEL)","clip ⟫ op out(DEX) › same clip(XBD,DEL)","clip-single-dex-clip","single-dex-family","","","","","","","","ok"
"","","footbagmoves","footbagmoves-3adds.txt","3","3","","Clip >> Op Out (DEX) > Same Clip (XBD)(DEL)","clip ⟫ op out(DEX) › same clip(XBD,DEL)","clip-single-dex-clip","single-dex-family","","","","","","","","ok"
"","","footbagmoves","footbagmoves-3adds.txt","3","","","","","no-notation","no-notation","","","","","","","","source_has_no_notation"
"","","footbagmoves","footbagmoves-3adds.txt","3","","","","","no-notation","no-notation","","","","","","","","source_has_no_notation"
"","","footbagmoves","footbagmoves-3adds.txt","3","","","","","no-notation","no-notation","","","","","","","","source_has_no_notation"
"","","footbagmoves","footbagmoves-3adds.txt","3","3","","Clip >> (front) Spin (BOD) >> Same Out (DEX) > Same Toe (DEL)","clip ⟫ [front] spin(BOD) ⟫ same out(DEX) › same toe(DEL)","clip-spin-toe","spin-family","","","","","","","","ok"
"","","footbagmoves","footbagmoves-3adds.txt","3","","","","","no-notation","no-notation","","","","","","","","source_has_no_notation"
